====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
T: 57912400, bestHPWL: 12611.5
T: 57370500, bestHPWL: 12602.5
T: 57124300, bestHPWL: 12602.5
T: 56913300, bestHPWL: 12602.5
T: 53904900, bestHPWL: 12602.5
T: 53373800, bestHPWL: 12602.5
T: 53277800, bestHPWL: 12602.5
T: 52227900, bestHPWL: 12589.5
T: 52050600, bestHPWL: 12589.5
T: 51780600, bestHPWL: 12589.5
T: 50507000, bestHPWL: 12589.5
T: 50476700, bestHPWL: 12589.5
T: 49725100, bestHPWL: 12589.5
T: 49259800, bestHPWL: 12589.5
T: 48813500, bestHPWL: 12589.5
T: 48745200, bestHPWL: 12589.5
T: 48691600, bestHPWL: 12589.5
T: 48594300, bestHPWL: 12589.5
T: 47403800, bestHPWL: 12589.5
T: 47247600, bestHPWL: 12589.5
T: 45608600, bestHPWL: 12589.5
T: 45426500, bestHPWL: 12589.5
T: 45358400, bestHPWL: 12589.5
T: 45177300, bestHPWL: 12588.5
T: 44866600, bestHPWL: 12580.5
T: 44835200, bestHPWL: 12580.5
T: 44785900, bestHPWL: 12580.5
T: 44460100, bestHPWL: 12565.5
T: 43916500, bestHPWL: 12563.5
T: 43427300, bestHPWL: 12563.5
T: 42354900, bestHPWL: 12563.5
T: 42105700, bestHPWL: 12560.5
T: 41238800, bestHPWL: 12560.5
T: 41045400, bestHPWL: 12560.5
T: 40576000, bestHPWL: 12560.5
T: 40015800, bestHPWL: 12560.5
T: 39971800, bestHPWL: 12560.5
T: 39792300, bestHPWL: 12560.5
T: 39593800, bestHPWL: 12560.5
T: 38143900, bestHPWL: 12560.5
T: 37870200, bestHPWL: 12560.5
T: 37542100, bestHPWL: 12542.5
T: 37444600, bestHPWL: 12542.5
T: 37172200, bestHPWL: 12542.5
T: 36894400, bestHPWL: 12542.5
T: 36692000, bestHPWL: 12542.5
T: 36261500, bestHPWL: 12539.5
T: 34420300, bestHPWL: 12531.5
T: 34262300, bestHPWL: 12531.5
