if (same > 1000000 and deltaCost < 50.0 and rand() % 10 == 0)

====================== Running testcase 1 ======================
rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
originWL: 11736, bestHPWL: 11736
Try uphill !
originWL: 11777, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11763, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
originWL: 11762, bestHPWL: 11736
Try uphill !
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11787, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11774, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
originWL: 11749, bestHPWL: 11736
Try uphill !
originWL: 11781, bestHPWL: 11736
originWL: 11781, bestHPWL: 11736
originWL: 11765, bestHPWL: 11736
originWL: 11765, bestHPWL: 11736
originWL: 11765, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
originWL: 11742, bestHPWL: 11736
Try uphill !
originWL: 11783, bestHPWL: 11736
originWL: 11783, bestHPWL: 11736
originWL: 11783, bestHPWL: 11736
originWL: 11783, bestHPWL: 11736
originWL: 11783, bestHPWL: 11736
originWL: 11778, bestHPWL: 11736
originWL: 11778, bestHPWL: 11736
originWL: 11778, bestHPWL: 11736
originWL: 11778, bestHPWL: 11736
originWL: 11737, bestHPWL: 11736
originWL: 11737, bestHPWL: 11736
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
Try uphill !
originWL: 11747.5, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11730, bestHPWL: 11730
originWL: 11724, bestHPWL: 11724
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
Try uphill !
originWL: 11738, bestHPWL: 11720
originWL: 11738, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
originWL: 11720, bestHPWL: 11720
Try uphill !
originWL: 11749, bestHPWL: 11720
originWL: 11749, bestHPWL: 11720
originWL: 11749, bestHPWL: 11720
originWL: 11749, bestHPWL: 11720
originWL: 11749, bestHPWL: 11720
originWL: 11749, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
Try uphill !
originWL: 11758.5, bestHPWL: 11720
originWL: 11758.5, bestHPWL: 11720
originWL: 11758.5, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11741, bestHPWL: 11720
originWL: 11739, bestHPWL: 11720
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
Try uphill !
originWL: 11755, bestHPWL: 11710
originWL: 11755, bestHPWL: 11710
originWL: 11755, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
Try uphill !
originWL: 11758, bestHPWL: 11710
originWL: 11758, bestHPWL: 11710
originWL: 11758, bestHPWL: 11710
originWL: 11758, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11751, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
Try uphill !
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
Try uphill !
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
Try uphill !
originWL: 11777.5, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11752, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
Try uphill !
originWL: 11763.5, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11738, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
originWL: 11710, bestHPWL: 11710
Try uphill !
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11712, bestHPWL: 11710
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
Try uphill !
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
Try uphill !
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11700, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11694, bestHPWL: 11694
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
originWL: 11693, bestHPWL: 11693
Try uphill !
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
originWL: 11742, bestHPWL: 11693
Try uphill !
originWL: 11768, bestHPWL: 11693
originWL: 11768, bestHPWL: 11693
originWL: 11768, bestHPWL: 11693
originWL: 11768, bestHPWL: 11693
originWL: 11768, bestHPWL: 11693
originWL: 11768, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11751, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
originWL: 11743, bestHPWL: 11693
