seed=5
if(same > 1000000 and deltaCost < 5.0){

rm -f legalizer
g++ -std=c++17 -O3 -Wall -Wextra main.cpp -o legalizer
./legalizer ./input/testcase1/architecture.txt ./input/testcase1/instance.txt ./input/testcase1/netlist.txt ./output/output1.txt
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11954.5, bestHPWL: 11954.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11953.5, bestHPWL: 11953.5
originWL: 11918.5, bestHPWL: 11918.5
originWL: 11918.5, bestHPWL: 11918.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11912.5, bestHPWL: 11912.5
originWL: 11908.5, bestHPWL: 11908.5
originWL: 11908.5, bestHPWL: 11908.5
originWL: 11908.5, bestHPWL: 11908.5
originWL: 11908.5, bestHPWL: 11908.5
originWL: 11908.5, bestHPWL: 11908.5
originWL: 11908.5, bestHPWL: 11908.5
Try uphill !
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11909.5, bestHPWL: 11908.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
originWL: 11907.5, bestHPWL: 11907.5
Try uphill !
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11909.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11908.5, bestHPWL: 11907.5
originWL: 11897.5, bestHPWL: 11897.5
originWL: 11897.5, bestHPWL: 11897.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
originWL: 11892.5, bestHPWL: 11892.5
Try uphill !
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11891.5, bestHPWL: 11891.5
originWL: 11890.5, bestHPWL: 11890.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11886.5, bestHPWL: 11886.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11879.5, bestHPWL: 11879.5
originWL: 11870.5, bestHPWL: 11870.5
originWL: 11870.5, bestHPWL: 11870.5
originWL: 11870.5, bestHPWL: 11870.5
originWL: 11854.5, bestHPWL: 11854.5
originWL: 11854.5, bestHPWL: 11854.5
originWL: 11854.5, bestHPWL: 11854.5
originWL: 11854.5, bestHPWL: 11854.5
originWL: 11837.5, bestHPWL: 11837.5
originWL: 11837.5, bestHPWL: 11837.5
originWL: 11837.5, bestHPWL: 11837.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
originWL: 11830.5, bestHPWL: 11830.5
Try uphill !
originWL: 11832.5, bestHPWL: 11830.5
originWL: 11832.5, bestHPWL: 11830.5
originWL: 11832.5, bestHPWL: 11830.5
